"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"2727",12882,30219,1,"31.10.2006",30219,"31.10.2006","2006Q3","2006Q3",2727
"2729",12902,30220,1,"31.12.2006",30220,"31.12.2006","2006Q4","2006Q4",2729
"2733",12917,30265,1,"31.03.2004",30265,"31.03.2004","2004Q1","2004Q1",2733
"2755",12954,30463,1,"29.02.2004",30463,"29.02.2004","2004Q1","2004Q2",2755
"2760",12986,30558,1,"30.06.2007",30558,"30.06.2007","2007Q2","2007Q2",2760
"2762",13000,30559,1,"31.12.2005",30559,"31.12.2005","2005Q4","2005Q4",2762
"2764",13006,30559,1,"30.06.2007",30559,"30.06.2007","2007Q2","2007Q2",2764
"2769",13022,30612,1,"30.06.2006",30612,"30.06.2006","2006Q2","2006Q2",2769
"2773",13047,30614,1,"30.09.2007",30614,"30.09.2007","2007Q3","2007Q3",2773
"2777",13082,30697,1,"30.06.2006",30697,"30.06.2006","2006Q2","2006Q4",2777
"2783",13113,30710,1,"31.03.2006",30710,"31.03.2006","2006Q1","2006Q1",2783
"2785",13136,30714,1,"31.12.2006",30714,"31.12.2006","2006Q4","2006Q3",2785
"2796",13180,30870,1,"30.09.2004",30870,"30.09.2004","2004Q3","2005Q1",2796
"2800",13211,30877,1,"31.12.2007",30877,"31.12.2007","2007Q4","2007Q4",2800
"2824",13266,30971,1,"31.03.2004",30971,"31.03.2004","2004Q1","2004Q1",2824
"2826",13281,30971,1,"31.12.2007",30971,"31.12.2007","2007Q4","2007Q4",2826
"2827",13292,31012,1,"30.09.2005",31012,"30.09.2005","2005Q3","2005Q3",2827
"2829",13301,31012,1,"31.12.2007",31012,"31.12.2007","2007Q4","2007Q4",2829
"2831",13333,31055,1,"31.12.2007",31055,"31.12.2007","2007Q4","2007Q4",2831
"2837",13346,31193,1,"31.12.2004",31193,"31.12.2004","2004Q4","2004Q4",2837
"2855",13408,31285,1,"30.09.2005",31285,"30.09.2005","2005Q3","2005Q3",2855
"2859",13427,31392,1,"30.06.2005",31392,"30.06.2005","2005Q2","2005Q3",2859
"2861",13450,31453,1,"30.09.2006",31453,"30.09.2006","2006Q3","2006Q3",2861
"2871",13505,31578,1,"30.06.2006",31578,"30.06.2006","2006Q2","2006Q2",2871
"2872",13520,31614,1,"28.02.2006",31614,"28.02.2006","2006Q1","2006Q2",2872
"2876",13533,31706,1,"31.03.2005",31706,"31.03.2005","2005Q1","2005Q1",2876
"2884",13556,31752,1,"30.06.2004",31752,"30.06.2004","2004Q2","2004Q2",2884
"2885",13584,31754,1,"31.12.2006",31754,"31.12.2006","2006Q4","2006Q4",2885
"2894",13616,60802,1,"30.09.2006",60802,"30.09.2006","2006Q3","2006Q3",2894
"2895",13633,60814,1,"31.12.2005",60814,"31.12.2005","2005Q4","2005Q4",2895
"2907",13672,60887,1,"31.03.2007",60887,"31.03.2007","2007Q1","2007Q1",2907
"2908",13687,60893,1,"31.12.2005",60893,"31.12.2005","2005Q4","2005Q4",2908
"2909",13700,60902,1,"31.03.2006",60902,"31.03.2006","2006Q1","2006Q1",2909
"2910",13715,60931,1,"31.12.2004",60931,"31.12.2004","2004Q4","2004Q4",2910
"2918",13739,60973,1,"31.12.2005",60973,"31.12.2005","2005Q4","2005Q3",2918
"2924",13753,61060,1,"30.06.2006",61060,"30.06.2006","2006Q2","2006Q2",2924
"2935",13774,61095,1,"30.09.2006",61095,"30.09.2006","2006Q3","2006Q2",2935
"2938",13787,61122,1,"31.12.2004",61122,"31.12.2004","2004Q4","2005Q1",2938
"2945",13817,61181,1,"30.09.2007",61181,"30.09.2007","2007Q3","2007Q3",2945
"2953",13854,61212,1,"31.12.2006",61212,"31.12.2006","2006Q4","2006Q4",2953
"2964",13887,61243,1,"30.09.2005",61243,"30.09.2005","2005Q3","2005Q3",2964
"2965",13894,61253,1,"30.09.2004",61253,"30.09.2004","2004Q3","2004Q3",2965
"2977",13915,61257,1,"31.03.2005",61257,"31.03.2005","2005Q1","2005Q1",2977
"2978",13931,61325,1,"30.06.2006",61325,"30.06.2006","2006Q2","2006Q2",2978
"2984",13954,61338,1,"31.03.2007",61338,"31.03.2007","2007Q1","2007Q1",2984
"2991",13982,61350,1,"30.06.2004",61350,"30.06.2004","2004Q2","2004Q2",2991
"2993",13988,61350,1,"31.12.2005",61350,"31.12.2005","2005Q4","2005Q4",2993
"2994",14014,61376,1,"30.06.2007",61376,"30.06.2007","2007Q2","2007Q2",2994
"2996",14027,61381,1,"30.09.2005",61381,"30.09.2005","2005Q3","2005Q4",2996
"2999",14042,61396,1,"30.09.2004",61396,"30.09.2004","2004Q3","2004Q3",2999
"3002",14071,61400,1,"31.08.2005",61400,"31.08.2005","2005Q3","2005Q4",3002
"3003",14085,61403,1,"30.09.2005",61403,"30.09.2005","2005Q3","2005Q3",3003
"3011",14104,61404,1,"31.03.2006",61404,"31.03.2006","2006Q1","2006Q2",3011
"3012",14117,61407,1,"31.03.2005",61407,"31.03.2005","2005Q1","2005Q1",3012
"3016",14133,61417,1,"31.03.2004",61417,"31.03.2004","2004Q1","2004Q1",3016
"3017",14154,61483,1,"30.06.2004",61483,"30.06.2004","2004Q2","2004Q2",3017
"3023",14204,61523,1,"31.03.2007",61523,"31.03.2007","2007Q1","2007Q1",3023
"3024",14213,61531,1,"30.04.2004",61531,"30.04.2004","2004Q1","2004Q1",3024
"3026",14223,61558,1,"30.06.2004",61558,"30.06.2004","2004Q2","2004Q2",3026
"3031",14232,61583,1,"31.03.2005",61583,"31.03.2005","2005Q1","2005Q1",3031
"3032",14237,61583,1,"30.06.2006",61583,"30.06.2006","2006Q2","2006Q2",3032
"3033",14245,61584,1,"31.12.2004",61584,"31.12.2004","2004Q4","2004Q4",3033
"3037",14274,61592,1,"31.03.2007",61592,"31.03.2007","2007Q1","2007Q1",3037
"3039",14285,61610,1,"31.12.2004",61610,"31.12.2004","2004Q4","2004Q4",3039
"3040",14294,61610,1,"31.03.2007",61610,"31.03.2007","2007Q1","2007Q1",3040
"3047",14329,61645,1,"31.03.2006",61645,"31.03.2006","2006Q1","2006Q1",3047
"3052",14353,61676,1,"31.03.2007",61676,"31.03.2007","2007Q1","2007Q1",3052
"3054",14365,61685,1,"30.09.2005",61685,"30.09.2005","2005Q3","2005Q4",3054
"3055",14393,61694,1,"31.12.2007",61694,"31.12.2007","2007Q4","2007Q4",3055
"3072",14420,61718,1,"31.12.2004",61718,"31.12.2004","2004Q4","2004Q3",3072
"3080",14443,61721,1,"31.07.2005",61721,"31.07.2005","2005Q2","2005Q3",3080
"3085",14460,61735,1,"30.09.2004",61735,"30.09.2004","2004Q3","2004Q4",3085
"3087",14481,61746,1,"30.06.2005",61746,"30.06.2005","2005Q2","2005Q4",3087
"3088",14488,61746,1,"31.03.2007",61746,"31.03.2007","2007Q1","2007Q3",3088
"3092",14510,61758,1,"31.12.2005",61758,"31.12.2005","2005Q4","2005Q4",3092
"3094",14529,61766,1,"30.09.2005",61766,"30.09.2005","2005Q3","2006Q1",3094
"3098",14555,61859,1,"31.12.2004",61859,"31.12.2004","2004Q4","2004Q4",3098
"3099",14578,61880,1,"30.06.2007",61880,"30.06.2007","2007Q2","2007Q4",3099
"3102",14604,61971,1,"31.12.2006",61971,"31.12.2006","2006Q4","2006Q4",3102
"3107",14628,61996,1,"31.12.2004",61996,"31.12.2004","2004Q4","2004Q4",3107
"3109",14651,62016,1,"30.09.2005",62016,"30.09.2005","2005Q3","2005Q3",3109
"3111",14661,62055,1,"31.03.2005",62055,"31.03.2005","2005Q1","2005Q2",3111
"3118",14681,62057,1,"30.06.2005",62057,"30.06.2005","2005Q2","2005Q2",3118
"3126",14718,62065,1,"30.09.2004",62065,"30.09.2004","2004Q3","2004Q3",3126
"3127",14739,62070,1,"31.12.2005",62070,"31.12.2005","2005Q4","2005Q4",3127
"3137",14754,62093,1,"31.10.2004",62093,"31.10.2004","2004Q3","2004Q3",3137
"3138",14782,62168,1,"31.12.2006",62168,"31.12.2006","2006Q4","2006Q4",3138
"3145",14803,62169,1,"31.08.2007",62169,"31.08.2007","2007Q3","2007Q1",3145
"3147",14817,62200,1,"31.03.2006",62200,"31.03.2006","2006Q1","2006Q1",3147
"3151",14837,62237,1,"31.03.2006",62237,"31.03.2006","2006Q1","2006Q1",3151
"3153",14853,62257,1,"30.06.2006",62257,"30.06.2006","2006Q2","2006Q2",3153
"3161",14919,62268,1,"31.12.2007",62268,"31.12.2007","2007Q4","2007Q4",3161
"3176",14955,62302,1,"31.12.2006",62302,"31.12.2006","2006Q4","2006Q4",3176
"3182",14966,62305,1,"31.08.2004",62305,"31.08.2004","2004Q3","2004Q4",3182
"3191",15032,62501,1,"30.06.2004",62501,"30.06.2004","2004Q2","2004Q3",3191
"3192",15052,62516,1,"30.09.2004",62516,"30.09.2004","2004Q3","2004Q3",3192
"3193",15072,62525,1,"31.12.2004",62525,"31.12.2004","2004Q4","2004Q4",3193
"3194",15077,62525,1,"31.03.2006",62525,"31.03.2006","2006Q1","2006Q1",3194
"3195",15092,62559,1,"31.12.2004",62559,"31.12.2004","2004Q4","2004Q4",3195
"3203",15115,62582,1,"31.03.2006",62582,"31.03.2006","2006Q1","2006Q2",3203
"3224",15149,62612,1,"31.03.2006",62612,"31.03.2006","2006Q1","2006Q1",3224
"3232",15163,62626,1,"30.09.2005",62626,"30.09.2005","2005Q3","2006Q1",3232
"3254",15225,62666,1,"30.04.2007",62666,"30.04.2007","2007Q1","2007Q1",3254
"3261",15264,62730,1,"31.03.2007",62730,"31.03.2007","2007Q1","2007Q1",3261
"3266",15280,62733,1,"31.01.2006",62733,"31.01.2006","2005Q4","2006Q1",3266
"3273",15298,62748,1,"31.07.2005",62748,"31.07.2005","2005Q2","2005Q2",3273
"3274",15311,62768,1,"30.09.2005",62768,"30.09.2005","2005Q3","2005Q3",3274
"3279",15329,62870,1,"31.03.2005",62870,"31.03.2005","2005Q1","2005Q1",3279
"3284",15354,62957,1,"30.09.2004",62957,"30.09.2004","2004Q3","2004Q3",3284
"3290",15381,62990,1,"30.06.2006",62990,"30.06.2006","2006Q2","2006Q2",3290
"3294",15405,63026,1,"30.09.2004",63026,"30.09.2004","2004Q3","2005Q1",3294
"3300",15435,63053,1,"31.12.2004",63053,"31.12.2004","2004Q4","2005Q1",3300
"3308",15488,63102,1,"31.03.2004",63102,"31.03.2004","2004Q1","2003Q4",3308
"3313",15513,63147,1,"31.12.2005",63147,"31.12.2005","2005Q4","2005Q4",3313
"3323",15555,63194,1,"31.12.2006",63194,"31.12.2006","2006Q4","2006Q4",3323
"3324",15570,63195,1,"30.09.2005",63195,"30.09.2005","2005Q3","2005Q3",3324
"3336",15605,63291,1,"31.03.2006",63291,"31.03.2006","2006Q1","2006Q1",3336
"3346",15637,63384,1,"30.06.2007",63384,"30.06.2007","2007Q2","2007Q2",3346
"3357",15688,63470,1,"30.09.2005",63470,"30.09.2005","2005Q3","2006Q1",3357
"3358",15693,63470,1,"31.12.2006",63470,"31.12.2006","2006Q4","2007Q2",3358
"3360",15706,63474,1,"31.12.2005",63474,"31.12.2005","2005Q4","2005Q4",3360
"3362",15717,63490,1,"31.12.2005",63490,"31.12.2005","2005Q4","2005Q4",3362
"3365",15759,63527,1,"30.06.2006",63527,"30.06.2006","2006Q2","2006Q2",3365
"3368",15779,63572,1,"30.06.2006",63572,"30.06.2006","2006Q2","2006Q4",3368
"3370",15789,63593,1,"28.02.2005",63593,"28.02.2005","2005Q1","2004Q4",3370
"3378",15811,63596,1,"30.09.2005",63596,"30.09.2005","2005Q3","2005Q3",3378
"3384",15839,63605,1,"31.12.2004",63605,"31.12.2004","2004Q4","2004Q4",3384
"3392",15867,63635,1,"31.12.2006",63635,"31.12.2006","2006Q4","2006Q4",3392
"3403",15910,63742,1,"31.12.2004",63742,"31.12.2004","2004Q4","2004Q4",3403
"3404",15928,63755,1,"31.12.2004",63755,"31.12.2004","2004Q4","2004Q4",3404
"3407",15945,63821,1,"30.09.2004",63821,"30.09.2004","2004Q3","2005Q1",3407
"3410",15968,63863,1,"31.12.2005",63863,"31.12.2005","2005Q4","2005Q4",3410
"3411",15973,63863,1,"31.03.2007",63863,"31.03.2007","2007Q1","2007Q1",3411
"3412",15989,63874,1,"31.07.2006",63874,"31.07.2006","2006Q2","2006Q2",3412
"3413",15998,63875,1,"31.03.2004",63875,"31.03.2004","2004Q1","2004Q1",3413
"3417",16039,63915,1,"30.06.2004",63915,"30.06.2004","2004Q2","2004Q2",3417
"3424",16060,63928,1,"30.09.2004",63928,"30.09.2004","2004Q3","2005Q1",3424
"3425",16079,63930,1,"31.12.2004",63930,"31.12.2004","2004Q4","2004Q4",3425
"3429",16101,63938,1,"30.04.2005",63938,"30.04.2005","2005Q1","2005Q1",3429
"3443",16146,63952,1,"31.12.2007",63952,"31.12.2007","2007Q4","2007Q4",3443
"3445",16154,63959,1,"31.12.2004",63959,"31.12.2004","2004Q4","2004Q4",3445
"3447",16172,64017,1,"30.06.2004",64017,"30.06.2004","2004Q2","2004Q2",3447
"3448",16192,64041,1,"31.12.2006",64041,"31.12.2006","2006Q4","2006Q4",3448
"3465",16232,64102,1,"30.06.2004",64102,"30.06.2004","2004Q2","2004Q2",3465
"3467",16240,64102,1,"30.06.2006",64102,"30.06.2006","2006Q2","2006Q2",3467
"3468",16262,64103,1,"31.12.2006",64103,"31.12.2006","2006Q4","2006Q4",3468
"3471",16286,64165,1,"31.12.2007",64165,"31.12.2007","2007Q4","2007Q4",3471
"3475",16302,64282,1,"31.12.2006",64282,"31.12.2006","2006Q4","2006Q4",3475
"3480",16341,64346,1,"30.09.2006",64346,"30.09.2006","2006Q3","2006Q3",3480
"3481",16359,64383,1,"31.03.2006",64383,"31.03.2006","2006Q1","2006Q1",3481
"3482",16374,64402,1,"31.12.2004",64402,"31.12.2004","2004Q4","2004Q4",3482
"3484",16394,64408,1,"30.09.2005",64408,"30.09.2005","2005Q3","2006Q1",3484
"3486",16419,64418,1,"30.06.2007",64418,"30.06.2007","2007Q2","2007Q1",3486
"3488",16429,64433,1,"31.01.2005",64433,"31.01.2005","2004Q4","2004Q4",3488
"3489",16437,64433,1,"31.01.2007",64433,"31.01.2007","2006Q4","2006Q4",3489
"3490",16445,64455,1,"31.08.2004",64455,"31.08.2004","2004Q3","2004Q4",3490
"3494",16453,64455,1,"31.08.2006",64455,"31.08.2006","2006Q3","2006Q4",3494
"3496",16461,64497,1,"30.09.2004",64497,"30.09.2004","2004Q3","2004Q3",3496
"3497",16470,64595,1,"28.02.2005",64595,"28.02.2005","2005Q1","2004Q4",3497
"3499",16480,64595,1,"31.08.2007",64595,"31.08.2007","2007Q3","2007Q2",3499
"3505",16515,64606,1,"31.07.2006",64606,"31.07.2006","2006Q2","2006Q2",3505
"3507",16533,64637,1,"30.09.2006",64637,"30.09.2006","2006Q3","2006Q4",3507
"3516",16549,64720,1,"30.09.2007",64720,"30.09.2007","2007Q3","2007Q3",3516
"3517",16556,64760,1,"30.06.2004",64760,"30.06.2004","2004Q2","2004Q2",3517
"3527",16584,64901,1,"30.09.2006",64901,"30.09.2006","2006Q3","2006Q4",3527
"3528",16595,64919,1,"30.09.2004",64919,"30.09.2004","2004Q3","2004Q4",3528
"3539",16642,64994,1,"30.09.2007",64994,"30.09.2007","2007Q3","2007Q3",3539
"3545",16680,65009,1,"30.09.2007",65009,"30.09.2007","2007Q3","2007Q3",3545
"3546",16688,65011,1,"30.09.2004",65011,"30.09.2004","2004Q3","2004Q3",3546
"3554",16723,65042,1,"31.12.2006",65042,"31.12.2006","2006Q4","2006Q4",3554
"3562",16737,65045,1,"30.06.2005",65045,"30.06.2005","2005Q2","2005Q2",3562
"3569",16775,65158,1,"31.12.2004",65158,"31.12.2004","2004Q4","2004Q4",3569
"3572",16791,65220,1,"30.09.2004",65220,"30.09.2004","2004Q3","2004Q3",3572
"3575",16813,65243,1,"31.03.2005",65243,"31.03.2005","2005Q1","2005Q1",3575
"3578",16833,65247,1,"31.03.2005",65247,"31.03.2005","2005Q1","2005Q1",3578
"3589",16861,65317,1,"30.06.2004",65317,"30.06.2004","2004Q2","2004Q2",3589
"3605",16925,65350,1,"31.03.2006",65350,"31.03.2006","2006Q1","2006Q1",3605
"3606",16945,65421,1,"30.06.2006",65421,"30.06.2006","2006Q2","2006Q2",3606
"3607",16966,65430,1,"31.07.2006",65430,"31.07.2006","2006Q2","2006Q2",3607
"3613",16977,65448,1,"30.06.2004",65448,"30.06.2004","2004Q2","2004Q2",3613
"3616",17011,65457,1,"31.10.2007",65457,"31.10.2007","2007Q3","2007Q2",3616
"3617",17030,65484,1,"31.12.2007",65484,"31.12.2007","2007Q4","2007Q4",3617
"3618",17035,65489,1,"31.03.2004",65489,"31.03.2004","2004Q1","2004Q1",3618
"3633",17066,65554,1,"31.12.2006",65554,"31.12.2006","2006Q4","2006Q4",3633
"3638",17087,65569,1,"31.03.2007",65569,"31.03.2007","2007Q1","2007Q1",3638
"3639",17097,65570,1,"31.12.2004",65570,"31.12.2004","2004Q4","2005Q1",3639
"3640",17103,65607,1,"31.03.2004",65607,"31.03.2004","2004Q1","2004Q3",3640
"3650",17131,65630,1,"31.12.2006",65630,"31.12.2006","2006Q4","2006Q4",3650
"3667",17162,65679,1,"31.12.2004",65679,"31.12.2004","2004Q4","2004Q4",3667
"3669",17192,65702,1,"30.04.2007",65702,"30.04.2007","2007Q1","2006Q4",3669
"3670",17210,65703,1,"31.12.2006",65703,"31.12.2006","2006Q4","2006Q4",3670
"3680",17257,65743,1,"31.01.2007",65743,"31.01.2007","2006Q4","2006Q3",3680
"3687",17279,65765,1,"30.09.2007",65765,"30.09.2007","2007Q3","2007Q3",3687
"3689",17296,65776,1,"31.01.2007",65776,"31.01.2007","2006Q4","2007Q2",3689
"3691",17305,65803,1,"31.12.2004",65803,"31.12.2004","2004Q4","2004Q4",3691
"3693",17331,65881,1,"30.09.2007",65881,"30.09.2007","2007Q3","2007Q3",3693
"3695",17344,65897,1,"31.12.2005",65897,"31.12.2005","2005Q4","2005Q4",3695
"3700",17364,65905,1,"31.12.2005",65905,"31.12.2005","2005Q4","2006Q1",3700
"3702",17381,65908,1,"30.06.2005",65908,"30.06.2005","2005Q2","2005Q2",3702
"3709",17418,65973,1,"31.12.2004",65973,"31.12.2004","2004Q4","2004Q4",3709
"3711",17436,66004,1,"30.06.2004",66004,"30.06.2004","2004Q2","2004Q2",3711
"3717",17455,66029,1,"31.12.2007",66029,"31.12.2007","2007Q4","2007Q4",3717
"3718",17463,66059,1,"31.12.2004",66059,"31.12.2004","2004Q4","2005Q1",3718
"3719",17491,66061,1,"31.03.2007",66061,"31.03.2007","2007Q1","2007Q1",3719
"3721",17506,66062,1,"31.12.2005",66062,"31.12.2005","2005Q4","2005Q4",3721
"3726",17524,66065,1,"30.06.2005",66065,"30.06.2005","2005Q2","2005Q2",3726
"3728",17538,66146,1,"31.12.2004",66146,"31.12.2004","2004Q4","2004Q4",3728
"3731",17560,66268,1,"31.12.2006",66268,"31.12.2006","2006Q4","2006Q4",3731
"3743",17588,66360,1,"31.03.2004",66360,"31.03.2004","2004Q1","2004Q1",3743
"3745",17602,66360,1,"30.09.2007",66360,"30.09.2007","2007Q3","2007Q3",3745
"3747",17617,66368,1,"30.06.2006",66368,"30.06.2006","2006Q2","2006Q2",3747
"3750",17629,66371,1,"30.06.2004",66371,"30.06.2004","2004Q2","2004Q3",3750
"3754",17639,66371,1,"31.12.2006",66371,"31.12.2006","2006Q4","2007Q1",3754
"3756",17650,66379,1,"31.12.2004",66379,"31.12.2004","2004Q4","2004Q4",3756
"3757",17673,66393,1,"30.09.2005",66393,"30.09.2005","2005Q3","2006Q1",3757
"3784",17749,66455,1,"31.12.2005",66455,"31.12.2005","2005Q4","2005Q4",3784
"3786",17766,66596,1,"30.09.2005",66596,"30.09.2005","2005Q3","2005Q3",3786
"3792",17795,66646,1,"31.01.2005",66646,"31.01.2005","2004Q4","2004Q4",3792
"3797",17822,66660,1,"31.12.2006",66660,"31.12.2006","2006Q4","2006Q4",3797
"3799",17829,66675,1,"30.06.2005",66675,"30.06.2005","2005Q2","2005Q4",3799
"3800",17842,105932,1,"30.06.2004",105932,"30.06.2004","2004Q2","2004Q4",3800
"3802",17848,106228,1,"31.03.2004",106228,"31.03.2004","2004Q1","2004Q1",3802
"3805",17866,106254,1,"31.12.2004",106254,"31.12.2004","2004Q4","2004Q3",3805
"3813",17900,108631,1,"31.12.2005",108631,"31.12.2005","2005Q4","2005Q4",3813
"3817",17927,108740,1,"30.09.2007",108740,"30.09.2007","2007Q3","2007Q3",3817
"3834",17965,108970,1,"31.03.2006",108970,"31.03.2006","2006Q1","2006Q1",3834
"3843",18003,109084,1,"31.12.2005",109084,"31.12.2005","2005Q4","2005Q4",3843
"3846",18016,109423,1,"31.03.2004",109423,"31.03.2004","2004Q1","2004Q1",3846
"3847",18031,110039,1,"30.09.2006",110039,"30.09.2006","2006Q3","2006Q3",3847
"3848",18041,110100,1,"31.03.2004",110100,"31.03.2004","2004Q1","2004Q1",3848
"3851",18055,110289,1,"30.09.2005",110289,"30.09.2005","2005Q3","2006Q1",3851
"3861",18081,110387,1,"30.09.2006",110387,"30.09.2006","2006Q3","2006Q3",3861
"3864",18100,110529,1,"30.06.2006",110529,"30.06.2006","2006Q2","2006Q2",3864
"3866",18119,110721,1,"31.01.2006",110721,"31.01.2006","2005Q4","2005Q4",3866
"3867",18136,111022,1,"31.12.2007",111022,"31.12.2007","2007Q4","2007Q3",3867
"3869",18144,111490,1,"31.12.2004",111490,"31.12.2004","2004Q4","2004Q4",3869
"3886",18205,111868,1,"31.12.2005",111868,"31.12.2005","2005Q4","2005Q4",3886
"3896",18226,112034,1,"30.09.2006",112034,"30.09.2006","2006Q3","2006Q3",3896
"3897",18249,112720,1,"30.06.2007",112720,"30.06.2007","2007Q2","2007Q2",3897
"3899",18263,112876,1,"31.03.2006",112876,"31.03.2006","2006Q1","2006Q1",3899
"3901",18278,112878,1,"31.12.2004",112878,"31.12.2004","2004Q4","2004Q4",3901
"3904",18290,113269,1,"31.03.2004",113269,"31.03.2004","2004Q1","2004Q1",3904
"3908",18334,113359,1,"30.06.2006",113359,"30.06.2006","2006Q2","2006Q4",3908
"3909",18343,113373,1,"30.09.2004",113373,"30.09.2004","2004Q3","2004Q3",3909
"3912",18363,113439,1,"31.03.2006",113439,"31.03.2006","2006Q1","2006Q1",3912
"3913",18390,113546,1,"31.12.2007",113546,"31.12.2007","2007Q4","2007Q4",3913
"3914",18401,114225,1,"30.06.2006",114225,"30.06.2006","2006Q2","2006Q2",3914
"3928",18454,115245,1,"31.12.2004",115245,"31.12.2004","2004Q4","2004Q3",3928
"3930",18460,115245,1,"30.06.2006",115245,"30.06.2006","2006Q2","2006Q1",3930
"3931",18474,115588,1,"31.12.2005",115588,"31.12.2005","2005Q4","2005Q4",3931
"3936",18502,116504,1,"31.12.2007",116504,"31.12.2007","2007Q4","2007Q4",3936
"3937",18514,116924,1,"30.11.2006",116924,"30.11.2006","2006Q4","2006Q3",3937
"3941",18525,118081,1,"31.12.2004",118081,"31.12.2004","2004Q4","2004Q4",3941
"3942",18551,118121,1,"30.06.2006",118121,"30.06.2006","2006Q2","2006Q4",3942
"3943",18564,118122,1,"31.03.2005",118122,"31.03.2005","2005Q1","2005Q1",3943
"3953",18587,118304,1,"31.12.2005",118304,"31.12.2005","2005Q4","2005Q4",3953
"3954",18606,118503,1,"31.12.2005",118503,"31.12.2005","2005Q4","2005Q4",3954
"3962",18631,118793,1,"30.09.2005",118793,"30.09.2005","2005Q3","2005Q3",3962
"3968",18672,119316,1,"30.09.2007",119316,"30.09.2007","2007Q3","2007Q3",3968
"3971",18682,119574,1,"31.03.2005",119574,"31.03.2005","2005Q1","2005Q3",3971
"3972",18689,119574,1,"31.12.2006",119574,"31.12.2006","2006Q4","2007Q2",3972
"3986",18718,119955,1,"30.09.2004",119955,"30.09.2004","2004Q3","2004Q3",3986
"3990",18747,120048,1,"31.12.2006",120048,"31.12.2006","2006Q4","2006Q4",3990
"3991",18760,120301,1,"31.03.2005",120301,"31.03.2005","2005Q1","2005Q1",3991
"3998",18777,120302,1,"30.06.2004",120302,"30.06.2004","2004Q2","2004Q2",3998
"4004",18808,120513,1,"31.10.2007",120513,"31.10.2007","2007Q3","2007Q3",4004
"4005",18824,120593,1,"31.12.2006",120593,"31.12.2006","2006Q4","2006Q4",4005
"4009",18852,120816,1,"31.12.2007",120816,"31.12.2007","2007Q4","2007Q4",4009
"4014",18891,120824,1,"30.09.2007",120824,"30.09.2007","2007Q3","2007Q3",4014
"4016",18895,120835,1,"30.06.2004",120835,"30.06.2004","2004Q2","2004Q2",4016
"4018",18906,120835,1,"31.03.2007",120835,"31.03.2007","2007Q1","2007Q1",4018
"4019",18914,121437,1,"31.03.2004",121437,"31.03.2004","2004Q1","2004Q1",4019
"4023",18938,121553,1,"31.12.2005",121553,"31.12.2005","2005Q4","2006Q2",4023
"4024",18950,121560,1,"30.11.2004",121560,"30.11.2004","2004Q4","2004Q4",4024
"4029",18968,121759,1,"31.12.2005",121759,"31.12.2005","2005Q4","2005Q4",4029
